method,condition,attack_level,success_rate,avg_reward,final_distance,avg_episode_length,action_smoothness,action_magnitude,safety_violation_rate,recovery_rate,n_seeds,c1_reliability,c2_robustness,c3_cyber_resilience,c4_safety,c5_recovery,trustworthiness_score
random,action_delay,0.0,0.0,-50.0,0.15326543860079836,50.0,0.0,0.0,0.0,0.0,1,0.0,0.766080905377267,0.0,1.0,0.0,0.30321618107545345
random,action_noise,0.05,1.0,-49.0,0.23919655213620233,50.0,1.6436045465242888,1.1459067128616744,1.0,0.0,1,1.0,0.3206134727755664,1.0,0.0,0.0,0.5641226945551132
random,action_scale,0.5,0.0,-50.0,0.31170877340421743,50.0,2.091656446456909,1.4365326166152954,1.0,0.0,1,0.0,0.12425912373765048,0.0,0.0,0.0,0.0248518247475301
random,clean,0.0,0.0,-50.0,0.20027565783643267,50.0,1.482476830482483,1.0448111295700073,1.0,0.0,1,0.0,0.41082932740847244,0.0,0.0,1.0,0.2321658654816945
random,sensor_noise,0.01,1.0,-46.0,0.09143547274864876,50.0,1.6202208995819092,1.1355701684951782,1.0,0.0,1,1.0,0.550603416040526,1.0,0.0,0.0,0.6101206832081052
random,sensor_noise,0.05,0.0,-50.0,0.30816336237736525,50.0,1.5742853879928589,1.1520521640777588,1.0,0.0,1,0.0,0.22861022327130098,0.0,0.0,0.0,0.0457220446542602
random,target_shift,0.03,0.0,-50.0,0.23848720292954623,50.0,1.5294662714004517,1.1552726030349731,1.0,0.0,1,0.0,0.34352345296115794,0.0,0.0,0.0,0.0687046905922316
random_recovery,action_delay,0.0,0.0,-50.0,0.15326543860079836,50.0,0.0,0.0,0.0,1.0,1,0.0,0.766080905377267,0.0,1.0,1.0,0.4532161810754535
random_recovery,action_noise,0.05,0.0,-50.0,0.24958575193677818,50.0,1.542724609375,1.0876952409744263,1.0,1.0,1,0.0,0.32404898627440837,0.0,0.0,1.0,0.21480979725488167
random_recovery,action_scale,0.5,0.0,-50.0,0.26702184339010576,50.0,0.9693925976753235,0.7157042026519775,0.0,1.0,1,0.0,0.40707912844102834,0.0,1.0,1.0,0.38141582568820565
random_recovery,sensor_noise,0.01,0.0,-50.0,0.3162777801975918,50.0,1.1989080905914307,0.8657901287078857,1.0,1.0,1,0.0,0.2880113644970086,0.0,0.0,1.0,0.20760227289940172
random_recovery,sensor_noise,0.05,0.0,-50.0,0.3931242265997646,50.0,1.0377379655838013,0.7571399807929993,0.0,1.0,1,0.0,0.20154714846376565,0.0,1.0,1.0,0.34030942969275313
random_recovery,target_shift,0.03,0.0,-50.0,0.13201819785311814,50.0,1.653436303138733,1.1565003395080566,1.0,0.0,1,0.0,0.4823126551195229,0.0,0.0,0.0,0.09646253102390459
rule_based,action_delay,0.0,0.0,-50.0,0.15326543860079836,50.0,0.0,0.0,0.0,0.0,1,0.0,0.766080905377267,0.0,1.0,0.0,0.30321618107545345
rule_based,action_noise,0.05,1.0,-6.0,0.022125553169462794,50.0,0.1371061119293158,0.19550664424995362,0.0,0.0,1,1.0,0.9400115801470232,1.0,1.0,0.0,0.8380023160294047
rule_based,action_scale,0.5,1.0,-4.0,0.021932796786414615,50.0,0.021898824721574783,0.2274859994649887,0.0,0.0,1,1.0,0.9623375518126529,1.0,1.0,0.0,0.8424675103625306
rule_based,clean,0.0,1.0,-6.0,0.02214139054767424,50.0,0.014896277338266373,0.17206940054893494,0.0,0.0,1,1.0,0.9633583277995893,1.0,1.0,1.0,0.9926716655599179
rule_based,sensor_noise,0.01,1.0,-6.0,0.023161094409526295,50.0,0.17367343604564667,0.21885982155799866,0.0,0.0,1,1.0,0.9314381121597657,1.0,1.0,0.0,0.8362876224319532
rule_based,sensor_noise,0.05,1.0,-10.0,0.03355825553251293,50.0,0.847942054271698,0.6162140965461731,0.0,0.0,1,1.0,0.786625170192226,1.0,1.0,0.0,0.8073250340384452
rule_based,target_shift,0.03,1.0,-6.0,0.022206399031572614,50.0,0.11886615306138992,0.2030842900276184,0.0,0.0,1,1.0,0.9433763270209283,1.0,1.0,0.0,0.8386752654041857
rule_based_recovery,action_delay,0.0,0.0,-50.0,0.15326543860079836,50.0,0.0,0.0,0.0,1.0,1,0.0,0.766080905377267,0.0,1.0,1.0,0.4532161810754535
rule_based_recovery,action_noise,0.05,1.0,-6.0,0.022433211370714558,50.0,0.121535524725914,0.19306087493896484,0.0,1.0,1,1.0,0.9425196781198752,1.0,1.0,1.0,0.9885039356239751
rule_based_recovery,action_scale,0.5,1.0,-8.0,0.02193501716472772,50.0,0.01720569282770157,0.2131742537021637,0.0,1.0,1,1.0,0.9632316587367935,1.0,1.0,1.0,0.9926463317473588
rule_based_recovery,sensor_noise,0.01,1.0,-6.0,0.02268037886724762,50.0,0.1656837910413742,0.21375204622745514,0.0,0.0,1,1.0,0.9336997048071598,1.0,1.0,0.0,0.836739940961432
rule_based_recovery,sensor_noise,0.05,1.0,-24.0,0.038199341438170324,50.0,0.8834243416786194,0.6685550212860107,0.0,1.0,1,1.0,0.7727562913940785,1.0,1.0,1.0,0.9545512582788158
rule_based_recovery,target_shift,0.03,1.0,-6.0,0.02226900754438305,50.0,0.12460458278656006,0.21015805006027222,0.0,0.0,1,1.0,0.9421833773965838,1.0,1.0,0.0,0.8384366754793168
